           name        mass       width    J    I  I_3         pid   B   Q   S   C   T   B
  Sigma(P11)bar     1.19264       9e-06  0.5    1    0       -3212  -1   0   1   0   0   0
    Sigma(P11)+     1.18937   8.264e-15  0.5    1    1        3222   1   1  -1   0   0   0
 Sigma(P11)+bar     1.18937   8.264e-15  0.5    1   -1       -3222  -1  -1   1   0   0   0
     h(1)(1170)        1.17        0.36    1    0    0       10223   0   0   0   0   0   0
    Lambda(P01)     1.11568   2.518e-15  0.5    0    0        3122   1   0  -1   0   0   0
 Lambda(P01)bar     1.11568   2.518e-15  0.5    0    0       -3122  -1   0   1   0   0   0
      phi(1020)     1.01946     0.00426    1    0    0         333   0   0   0   0   0   0
     a(0)(980)+      0.9847       0.075    0    1    1     9000211   0   1   0   0   0   0
     a(0)(980)-      0.9847       0.075    0    1   -1    -9000211   0  -1   0   0   0   0
      a(0)(980)      0.9847       0.075    0    1    0     9000111   0   0   0   0   0   0
      f(0)(980)        0.98        0.07    0    0    0     9010221   0   0   0   0   0   0
      eta'(958)     0.95766    0.000205    0    0    0         331   0   0   0   0   0   0
         n(P11)    0.939565   7.481e-28  0.5  0.5 -0.5        2112   1   0   0   0   0   0
      n(P11)bar    0.939565   7.481e-28  0.5  0.5  0.5       -2112  -1   0   0   0   0   0
        p(P11)+    0.938272           0  0.5  0.5  0.5        2212   1   1   0   0   0   0
     p(P11)+bar    0.938272           0  0.5  0.5 -0.5       -2212  -1  -1   0   0   0   0
        K*(892)       0.896      0.0503    1  0.5 -0.5         313   0   0   1   0   0   0
     K*(892)bar       0.896      0.0503    1  0.5  0.5        -313   0   0  -1   0   0   0
       K*(892)+     0.89166      0.0508    1  0.5  0.5         323   0   1   1   0   0   0
    K*(892)+bar     0.89166      0.0508    1  0.5 -0.5        -323   0  -1  -1   0   0   0
      f(0)(600)         0.8         0.8    0    0    0     9000221   0   0   0   0   0   0
     omega(782)     0.78265     0.00849    1    0    0         223   0   0   0   0   0   0
      rho(770)+     0.77549      0.1494    1    1    1         213   0   1   0   0   0   0
      rho(770)-     0.77549      0.1494    1    1   -1        -213   0  -1   0   0   0   0
       rho(770)     0.77549      0.1494    1    1    0         113   0   0   0   0   0   0
            eta    0.547853     1.3e-06    0    0    0         221   0   0   0   0   0   0
              K    0.497614           0    0  0.5 -0.5         311   0   0   1   0   0   0
           Kbar    0.497614           0    0  0.5  0.5        -311   0   0  -1   0   0   0
             K+    0.493677   5.352e-17    0  0.5  0.5         321   0   1   1   0   0   0
             K-    0.493677   5.352e-17    0  0.5 -0.5        -321   0  -1  -1   0   0   0
            pi+     0.13957  2.5452e-17    0    1    1         211   0   1   0   0   0   0
            pi-     0.13957  2.5452e-17    0    1   -1        -211   0  -1   0   0   0   0
             pi    0.134977     7.9e-09    0    1    0         111   0   0   0   0   0   0
